iter	RMSE
0	0.184343668
1	0.1829829783
2	0.1817641785
3	0.1807674192
4	0.1800430812
5	0.1793184607
6	0.1781781041
7	0.1776031398
8	0.1766666296
9	0.1759541698
10	0.1752869867
11	0.1747276942
12	0.1738086866
13	0.1734738626
14	0.1729986931
15	0.1723193898
16	0.1718403367
17	0.1708925684
18	0.1703974408
19	0.1698498873
20	0.1694419634
21	0.1687327237
22	0.168427366
23	0.1679410564
24	0.1672129433
25	0.1668559416
26	0.1660232644
27	0.1654828169
28	0.164996894
29	0.164617882
30	0.1642298129
31	0.163902638
32	0.1632675691
33	0.1626380145
34	0.1622939462
35	0.1619862057
36	0.1615612154
37	0.1612151726
38	0.1606700845
39	0.1602534638
40	0.1601111659
41	0.1596007212
42	0.1594109203
43	0.1592015732
44	0.1587745421
45	0.1580463789
46	0.1575815236
47	0.1571454879
48	0.156469071
49	0.1559007615
50	0.155713531
51	0.1552580915
52	0.1548980403
53	0.1545007144
54	0.1542883759
55	0.1539684258
56	0.1534626991
57	0.1528649504
58	0.1524440889
59	0.1518357792
60	0.1515273051
61	0.1508876706
62	0.1507260542
63	0.150511141
64	0.1501027224
65	0.1497561276
66	0.1497100943
67	0.1493148764
68	0.1488864003
69	0.1482091644
70	0.1478130719
71	0.1473772761
72	0.1467936649
73	0.1463449323
74	0.1460458432
75	0.1456233424
76	0.1449712891
77	0.1446226943
78	0.1443285463
79	0.1439463366
80	0.1437642847
81	0.1434168227
82	0.1431405823
83	0.1429172463
84	0.1426573683
85	0.1425008621
86	0.142112913
87	0.1418105135
88	0.1416221636
89	0.1412338291
90	0.1409555536
91	0.1407791411
92	0.1402664777
93	0.1399803734
94	0.1397505325
95	0.1392337267
96	0.1388656313
97	0.1384138328
98	0.1380318473
99	0.1375182537
100	0.1372228768
101	0.1370915103
102	0.1370209439
103	0.1367913895
104	0.1366740193
105	0.1365366251
106	0.1362285604
107	0.1358909723
108	0.1356579393
109	0.1356066344
110	0.1355704969
111	0.1353165434
112	0.1349703728
113	0.1345252397
114	0.1341660251
115	0.1338803117
116	0.1335724704
117	0.1332904916
118	0.1330953155
119	0.1327335529
120	0.132295786
121	0.1317926767
122	0.1315564179
123	0.1311969171
124	0.1308852919
125	0.1303551861
126	0.1301962129
127	0.1301614632
128	0.129963033
129	0.1298629196
130	0.1296105196
131	0.1292576008
132	0.1289555214
133	0.1287015072
134	0.1283380546
135	0.1280956495
136	0.1278148679
137	0.1277109127
138	0.1274917153
139	0.1270999639
140	0.1268880224
141	0.1265923483
142	0.1264264952
143	0.1262017681
144	0.1259131979
145	0.1255086167
146	0.1251412251
147	0.1250136282
148	0.1248011536
149	0.1242812806
150	0.1239106713
151	0.1237235117
152	0.1234025609
153	0.1232745573
154	0.1229943471
155	0.122603497
156	0.1223835512
157	0.1221981849
158	0.1218236315
159	0.1215276038
160	0.1212182746
161	0.121189894
162	0.121036105
163	0.12087077
164	0.1204517506
165	0.1202799707
166	0.1200363133
167	0.1197027102
168	0.1193493471
169	0.1189208641
170	0.1188071149
171	0.1183456934
172	0.1180340824
173	0.1178827356
174	0.1177435443
175	0.1174403832
176	0.1172937931
177	0.1171463363
178	0.1169967148
179	0.1167261738
180	0.1164466034
181	0.116055349
182	0.1159094461
183	0.115644855
184	0.1152227545
185	0.1150394615
186	0.1148987289
187	0.1147054407
188	0.1143527373
189	0.1139814453
190	0.1137050568
191	0.1136145911
192	0.1131741584
193	0.1128509529
194	0.1127019891
195	0.1124683657
196	0.1120450439
197	0.1119202908
198	0.1116827654
199	0.1114142924
200	0.1111771884
201	0.1110542233
202	0.1108389009
203	0.1106617776
204	0.1104604848
205	0.1101113001
206	0.1098543469
207	0.1095036402
208	0.1093337475
209	0.1091820399
210	0.1088189405
211	0.1087367195
212	0.1082785931
213	0.1080271865
214	0.107801698
215	0.1077138448
216	0.1076091029
217	0.107443407
218	0.1073247856
219	0.1072547851
220	0.1067270443
221	0.1065570781
222	0.106192928
223	0.1058442533
224	0.1058092934
225	0.1055712198
226	0.1050325776
227	0.1048458965
228	0.1047931604
229	0.1046437001
230	0.1044066609
231	0.1043487604
232	0.1041784827
233	0.1040276593
234	0.1035807874
235	0.1033953591
236	0.1031268049
237	0.1028289229
238	0.102735235
239	0.1026492112
240	0.1024064752
241	0.1022700614
242	0.1019011342
243	0.1017634424
244	0.101718338
245	0.1016114979
246	0.1013920756
247	0.1011962135
248	0.1011532284
249	0.1009589544
250	0.1006474446
251	0.1003814082
252	0.100034316
253	0.09989179744
254	0.09974346239
255	0.09970398702
256	0.09962472819
257	0.09947233916
258	0.09931457048
259	0.09922772003
260	0.09897088989
261	0.09892039866
