iter	Passed	Remaining
0	207	166157
1	257	102756
2	304	80779
3	349	69548
4	396	63120
5	443	58744
6	495	56187
7	541	53626
8	595	52345
9	667	52722
10	725	52039
11	779	51181
12	830	50305
13	883	49608
14	963	50425
15	1008	49438
16	1055	48637
17	1100	47819
18	1144	47039
19	1193	46528
20	1240	46031
21	1284	45413
22	1329	44913
23	1373	44407
24	1420	44041
25	1469	43759
26	1514	43355
27	1559	43004
28	1604	42670
29	1651	42385
30	1694	42033
31	1737	41699
32	1781	41409
33	1827	41170
34	1871	40915
35	1917	40695
36	1963	40487
37	2054	41189
38	2126	41500
39	2197	41746
40	2250	41670
41	2296	41448
42	2339	41191
43	2382	40942
44	2434	40853
45	2478	40628
46	2521	40404
47	2566	40215
48	2611	40022
49	2661	39926
50	2706	39749
51	2751	39577
52	2795	39405
53	2842	39266
54	2889	39143
55	2937	39024
56	2995	39052
57	3062	39177
58	3108	39037
59	3161	38995
60	3207	38860
61	3252	38715
62	3296	38566
63	3339	38407
64	3386	38291
65	3428	38133
66	3505	38353
67	3585	38596
68	3631	38474
69	3681	38389
70	3728	38280
71	3773	38153
72	3818	38025
73	3861	37885
74	3905	37749
75	3949	37623
76	3991	37482
77	4038	37380
78	4080	37239
79	4123	37114
80	4183	37136
81	4244	37165
82	4298	37132
83	4350	37080
84	4399	37006
85	4447	36926
86	4496	36852
87	4540	36739
88	4585	36628
89	4628	36515
90	4670	36386
91	4713	36276
92	4756	36159
93	4799	36048
94	4850	35994
95	4894	35893
96	4937	35784
97	4981	35685
98	5025	35583
99	5100	35706
100	5150	35643
101	5202	35600
102	5250	35533
103	5301	35477
104	5345	35384
105	5390	35292
106	5433	35188
107	5483	35136
108	5531	35064
109	5574	34966
110	5618	34874
111	5664	34798
112	5708	34704
113	5750	34602
114	5792	34501
115	5837	34420
116	5886	34360
117	5935	34302
118	5980	34224
119	6024	34138
120	6068	34053
121	6112	33968
122	6156	33884
123	6199	33795
124	6244	33719
125	6288	33639
126	6330	33547
127	6373	33460
128	6420	33394
129	6468	33338
130	6513	33263
131	6555	33175
132	6598	33092
133	6640	33006
134	6684	32926
135	6728	32848
136	6770	32763
137	6815	32694
138	6857	32609
139	6902	32542
140	6946	32465
141	6989	32385
142	7032	32309
143	7075	32234
144	7119	32162
145	7211	32304
146	7255	32228
147	7299	32157
148	7344	32088
149	7393	32039
150	7440	31977
151	7483	31903
152	7527	31833
153	7570	31758
154	7614	31687
155	7669	31661
156	7716	31601
157	7760	31533
158	7807	31474
159	7850	31403
160	7893	31329
161	7935	31253
162	7979	31183
163	8022	31112
164	8064	31037
165	8113	30985
166	8156	30916
167	8198	30841
168	8243	30779
169	8287	30711
170	8337	30667
171	8381	30603
172	8427	30544
173	8470	30476
174	8514	30407
175	8555	30334
176	8606	30291
177	8653	30237
178	8698	30177
179	8745	30123
180	8789	30060
181	8847	30041
182	8897	30000
183	8947	29954
184	8992	29894
185	9034	29825
186	9078	29761
187	9121	29693
188	9164	29626
189	9208	29563
190	9300	29654
191	9345	29594
192	9395	29549
193	9440	29488
