id,event_id,user_id,invited_by,target_type,status,message,sent_at,rsvp_response
1,f7282720-9c28-4860-a660-4e081669ae79,e94c386e-8464-4a22-be9a-6beb0e5d7a7b,d420025c-f809-4d32-9066-98749e88aeb9,DEPARTMENT,RESPONDED,Événement recommandé pour votre équipe,2026-04-20 21:24:39.345612+00:00,NO
2,50232d80-70de-4af6-9c62-7f90fb045009,216e3c28-a95a-4cd1-b163-01b319c3d109,c7d4b081-bb87-4340-9a1f-0649f6113b13,DEPARTMENT,PENDING,Événement recommandé pour votre équipe,2026-01-27 12:43:20.501213+00:00,
3,4734d518-c76a-41ee-8295-565dc7977d68,b84486da-21ec-4b82-bf29-a0ba711862f5,702b5919-6fb5-46fa-8a5a-e0c7f8f37c74,INDIVIDUAL,EXPIRED,Invitation personnalisée selon votre profil,2026-02-25 00:01:37.491275+00:00,
4,82a0a1d7-4b04-4a8b-9230-83cd7fecec92,91e9323a-e856-492f-b6b6-379bc6570add,0deccb0f-28c2-4434-a9fc-b509e554f041,INDIVIDUAL,RESPONDED,Invitation ciblée pour cet événement,2026-02-22 11:45:49.282948+00:00,NO
5,b2d95066-bef2-46c0-ac7c-077db04abfb7,da7d8ca8-db94-48b0-87a9-6c6a4d12c1cb,1488e2ee-e5fc-4fda-a6c5-2e6dbdbec50b,DEPARTMENT,RESPONDED,Invitation départementale liée à vos activités,2026-03-23 12:01:45.300802+00:00,YES
6,a4447490-4186-44ca-80b0-476de5ac57d8,5e61724f-7287-442f-963a-0d5dd803249c,b54fdc5c-e828-48f4-8b75-28fe75c046a8,DEPARTMENT,EXPIRED,Événement recommandé pour votre équipe,2026-03-07 05:00:54.879055+00:00,
7,6d36223b-7581-4286-ad5e-2e6018ce07d7,eb85b268-bb88-4119-939d-492d2322518f,d038d3e8-db0f-4824-9216-4de208fd6652,INDIVIDUAL,PENDING,Invitation personnalisée selon votre profil,2026-02-28 12:14:13.788481+00:00,
8,7d286db0-4ef0-461e-996e-dd817fa97db0,06cf8ad7-4bdc-42e8-94e2-b0abe12a020b,8447be2e-4776-47d8-b0e5-e6a88f3e7d22,DEPARTMENT,PENDING,Invitation destinée à votre département,2026-04-07 17:04:49.771143+00:00,
9,bac5b13c-3c0a-42a8-865b-f5b85f569adc,de3055d4-4360-4203-a8f8-a1dab9fcf241,f2aba7e0-43cb-45a1-8ed2-80e2b36e4be9,INDIVIDUAL,PENDING,Votre participation serait appréciée,2026-03-16 10:26:09.859975+00:00,
10,ad9f0c18-b62d-47cd-a11c-de4221504aa3,e8c415aa-cfd6-4935-9dbf-646291d2e9c0,dea563e5-75d4-4009-859c-5370f9952466,GLOBAL,PENDING,Invitation pour tous les collaborateurs,2026-04-14 13:30:23.027616+00:00,
11,518833bf-c37e-4d32-ae42-f1a45766ba8d,f19708c8-85b2-4faa-825b-a2fefaac0687,91859730-a2c4-46b6-855a-a89620a317df,INDIVIDUAL,PENDING,Votre participation serait appréciée,2026-02-17 14:54:50.318036+00:00,
12,719af1eb-a2f6-4e9a-8747-04fc7d8e28fa,2c6db120-61ac-4444-868a-bb75396aaae3,a41333e5-1570-46d3-b7f0-bef8202da882,DEPARTMENT,PENDING,Invitation destinée à votre département,2026-04-30 10:54:56.244138+00:00,
13,fd804a9f-0737-405c-96d6-35551ec2420d,2ddc0de1-b086-459e-8934-d9b7c1771d9d,02af81eb-661b-43df-96f9-ae3e16e670eb,INDIVIDUAL,RESPONDED,Invitation personnalisée selon votre profil,2026-04-10 07:06:41.464723+00:00,YES
14,476b8a57-a47f-4957-98c6-1d80cbdfce28,94df617c-7422-4cee-8fff-551c271661f6,b028e6d5-941b-4894-816c-80a8024ffabd,INDIVIDUAL,PENDING,Invitation personnalisée selon votre profil,2026-04-30 13:32:16.294621+00:00,
15,31a7a6c8-5cc2-46b5-adfe-573cfd00515c,f2d45b59-75cd-44be-b428-acaecb458fb7,eb85b268-bb88-4119-939d-492d2322518f,GLOBAL,PENDING,Invitation pour tous les collaborateurs,2026-02-10 07:13:31.424083+00:00,
16,ccd46cab-c742-472f-8b66-729694b1c18b,9d9f828f-6d17-4846-b840-5c49524aebe1,b6a8879c-3ed7-476d-8f1c-47f8f344f70d,GLOBAL,RESPONDED,Événement ouvert à toute l’entreprise,2026-03-24 13:57:06.834999+00:00,NO
17,35792e83-9140-4e2b-a199-6e378151f4a8,80773d69-c298-4c18-89cd-2c5d7b1186c9,50480e44-2e0d-4139-aa9b-67dfcc405d62,DEPARTMENT,PENDING,Événement recommandé pour votre équipe,2026-03-29 01:33:08.361046+00:00,
18,85b47055-2b20-4170-9342-0a6e368e2d23,33611d4a-b72d-4868-8862-37dc6da35c82,42985594-b4de-4967-9bb0-fa9bd3a9e08f,GLOBAL,EXPIRED,Invitation pour tous les collaborateurs,2026-03-19 16:22:04.188283+00:00,
19,fd804a9f-0737-405c-96d6-35551ec2420d,00a63ee3-b72e-4d31-b5f3-e2c9113709fa,02af81eb-661b-43df-96f9-ae3e16e670eb,DEPARTMENT,PENDING,Événement recommandé pour votre équipe,2026-04-15 07:58:07.791585+00:00,
20,33009069-3d0a-4a5e-9229-c4e4178d49a7,216e3c28-a95a-4cd1-b163-01b319c3d109,cd925f76-6a4a-4b65-b4d7-839f7aa778fc,DEPARTMENT,RESPONDED,Événement recommandé pour votre équipe,2026-04-14 08:52:34.561385+00:00,YES
21,0035fc3f-70b9-42a5-a386-bc95ee622a36,3dded13e-5120-43d0-a063-fb98185a8252,45c10be6-7fac-4883-8cee-b772caa3f8de,DEPARTMENT,PENDING,Invitation départementale liée à vos activités,2026-04-13 23:21:22.681593+00:00,
22,0005ee17-1dd8-4096-b9bc-0a21a242ebd5,b47acf12-a3eb-4e7e-b774-7fd911ef71bd,0b259536-155f-4e39-9154-32d25e0d2eca,DEPARTMENT,PENDING,Invitation destinée à votre département,2026-04-22 02:19:40.569968+00:00,
23,5d83012d-37d4-43c1-9864-3b1d57609d13,db0a6297-8193-47c9-a815-151141095ca6,0b259536-155f-4e39-9154-32d25e0d2eca,DEPARTMENT,PENDING,Invitation destinée à votre département,2026-04-22 09:11:57.666638+00:00,
24,5861cac2-ef3e-402f-8935-c0fd307849ba,7c907411-53e7-4a2f-9fb2-368bef893ae6,539b3526-9e3d-45bd-baef-ec9d16abc2eb,INDIVIDUAL,EXPIRED,Invitation ciblée pour cet événement,2026-02-18 02:34:16.667290+00:00,
25,2e52bfb2-58a1-4f5f-90d8-390f1a349202,95678daf-22ef-4265-aecc-265d306f786c,d0461ae2-5c05-43f1-a230-208ef643b565,DEPARTMENT,RESPONDED,Invitation destinée à votre département,2026-04-04 03:32:06.698022+00:00,MAYBE
